Sr No,BUILDING,ELEMENT TYPE,Element ID,TYPE,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,Terrace,Per Building TOTAL 
429,B15,LP,ST - 101,5A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,45
430,B15,LP,BTST - 101,3A,,,,,,,,,,,,,,,,,,,,,,,1,,1
431,B15,LP,BTST - 101,5A,,,,,,,,,,,,,,,,,,,,,,,1,,1
432,B15,LP,LAN - 103,3A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,23
433,B15,LP,LAN - 103,5A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,23
434,B15,ST,LAN - 104,3A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,22
435,B15,ST,LAN - 104,5A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,22
436,B15,ST,TRLAN - 104,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
437,B15,ST,TRLAN - 104,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
438,B15,LAN,LS - 101,3A,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,157
439,B15,LAN,LS - 101,4A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,138
440,B15,LAN,LS - 101,5A,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,111
441,B15,LAN,LS - 102,3A,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,157
442,B15,LAN,LS - 102,4A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,138
443,B15,LAN,LS - 102,5A,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,111
444,B15,LS,LS - 103,3A,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,157
445,B15,LS,LS - 103,4A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,138
446,B15,LS,LS - 103,5A,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,111
447,B15,LS,LS - 104,3A,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,157
448,B15,LS,LS - 104,4A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,138
449,B15,LS,LS - 104,5A,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,111
450,B15,LS,LS - 105,3A,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,157
451,B15,LS,LS - 105,4A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,138
452,B15,LS,LS - 105,5A,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,111
453,B15,LS,LS - 106,3A,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,,157
454,B15,LS,LS - 106,4A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,138
455,B15,LS,LS - 106,5A,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,,111
456,B15,LS,PPW - 101,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
457,B15,LS,PPW - 101,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
458,B15,LS,PPW - 101,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
459,B15,LS,PPW - 101B,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
460,B15,LS,PPW - 101B,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
461,B15,LS,PPW - 101B,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
462,B15,PPW,PPW - 101C,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
463,B15,PPW,PPW - 101C,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
464,B15,PPW,PPW - 101C,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
465,B15,PPW,PPW - 101D,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
466,B15,PPW,PPW - 101D,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
467,B15,PPW,PPW - 101D,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
468,B15,PPW,PPW - 102,3A,,,,,,,,,,,,,,,,,,,,,,,,2,2
469,B15,PPW,PPW - 102,4A,,,,,,,,,,,,,,,,,,,,,,,,2,2
470,B15,PPW,PPW - 102,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
471,B15,PPW,PPW - 103,3A,,,,,,,,,,,,,,,,,,,,,,,,4,4
472,B15,PPW,PPW - 103,4A,,,,,,,,,,,,,,,,,,,,,,,,2,2
473,B15,PPW,PPW - 103,5A,,,,,,,,,,,,,,,,,,,,,,,,4,4
474,B15,PPW,PPW - 103A,3A,,,,,,,,,,,,,,,,,,,,,,,,4,4
475,B15,PPW,PPW - 103A,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
476,B15,PPW,PPW - 103A,5A,,,,,,,,,,,,,,,,,,,,,,,,4,4
477,B15,PPW,PPW - 104,3A,,,,,,,,,,,,,,,,,,,,,,,,4,4
478,B15,PPW,PPW - 104,4A,,,,,,,,,,,,,,,,,,,,,,,,5,5
479,B15,PPW,PPW - 104,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
480,B15,PPW,PPW - 105,3A,,,,,,,,,,,,,,,,,,,,,,,,6,6
481,B15,PPW,PPW - 105,4A,,,,,,,,,,,,,,,,,,,,,,,,8,8
482,B15,PPW,PPW - 105,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
483,B15,PPW,PPW - 106,3A,,,,,,,,,,,,,,,,,,,,,,,,6,6
484,B15,PPW,PPW - 106,4A,,,,,,,,,,,,,,,,,,,,,,,,5,5
485,B15,PPW,PPW - 106,5A,,,,,,,,,,,,,,,,,,,,,,,,4,4
486,B15,PPW,PPW - 107,3A,,,,,,,,,,,,,,,,,,,,,,,,6,6
487,B15,PPW,PPW - 107,4A,,,,,,,,,,,,,,,,,,,,,,,,2,2
488,B15,PPW,PPW - 107,5A,,,,,,,,,,,,,,,,,,,,,,,,6,6
489,B15,PPW,PPW - 111,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
490,B15,PPW,PPW - 111,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
491,B15,PPW,PPW - 111,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
492,B15,PPW,PPW - 111A,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
493,B15,PPW,PPW - 111A,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
494,B15,PPW,PPW - 111A,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
495,B15,PPW,PPW - 111B,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
496,B15,PPW,PPW - 111B,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
497,B15,PPW,PPW - 111B,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
498,B15,PPW,PPW - 111D,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
499,B15,PPW,PPW - 111D,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
500,B15,PPW,PPW - 111D,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
501,B15,PPW,PPW - 112,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
502,B15,PPW,PPW - 112,4A,,,,,,,,,,,,,,,,,,,,,,,,2,2
503,B15,PPW,PPW - 112,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
504,B15,PPW,PPW - 118,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
505,B15,PPW,PPW - 118,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
506,B15,PPW,PPW - 118,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
507,B15,PPW,PPW - 118A,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
508,B15,PPW,PPW - 118A,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
509,B15,PPW,PPW - 118A,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
510,B15,PPW,PPW - 119,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
511,B15,PPW,PPW - 119,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
512,B15,PPW,PPW - 119,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
513,B15,PPW,PPW - 120,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
514,B15,PPW,PPW - 120,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
515,B15,PPW,PPW - 120,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
516,B15,PPW,PPW - 120A,3A,,,,,,,,,,,,,,,,,,,,,,,,4,4
517,B15,PPW,PPW - 120A,4A,,,,,,,,,,,,,,,,,,,,,,,,4,4
518,B15,PPW,PPW - 120A,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
519,B15,PPW,PPW - 120B,3A,,,,,,,,,,,,,,,,,,,,,,,,3,3
520,B15,PPW,PPW - 120B,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
521,B15,PPW,PPW - 120B,5A,,,,,,,,,,,,,,,,,,,,,,,,3,3
522,B15,PPW,PPW - 121,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
523,B15,PPW,PPW - 121,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
524,B15,PPW,PPW - 121,5A,,,,,,,,,,,,,,,,,,,,,,,,2,2
525,B15,PPW,PPW - 121A,3A,,,,,,,,,,,,,,,,,,,,,,,,4,4
526,B15,PPW,PPW - 121A,4A,,,,,,,,,,,,,,,,,,,,,,,,3,3
527,B15,PPW,PPW - 121A,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
528,B15,PPW,PPW - 121B,3A,,,,,,,,,,,,,,,,,,,,,,,,3,3
529,B15,PPW,PPW - 121B,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
530,B15,PPW,PPW - 121B,5A,,,,,,,,,,,,,,,,,,,,,,,,3,3
531,B15,PPW,PPW - 122,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
532,B15,PPW,PPW - 122,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
533,B15,PPW,PPW - 122,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
534,B15,PPW,PPW - 122A,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
535,B15,PPW,PPW - 122A,4A,,,,,,,,,,,,,,,,,,,,,,,,2,2
536,B15,PPW,PPW - 122A,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
537,B15,PPW,PPW - 123A,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
538,B15,PPW,PPW - 123A,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
539,B15,PPW,PPW - 123A,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
540,B15,PPW,PPW - 127,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
541,B15,PPW,PPW - 127,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
542,B15,PPW,PPW - 127,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
543,B15,PPW,PPW - 129,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
544,B15,PPW,PPW - 129,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
545,B15,PPW,PPW - 129,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
546,B15,PPW,PPW - 131B,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
547,B15,PPW,PPW - 131B,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
548,B15,PPW,PPW - 131B,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
549,B15,PPW,PPW - 131C,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
550,B15,PPW,PPW - 131C,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
551,B15,PPW,PPW - 131C,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
552,B15,PPW,PPW - 132B,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
553,B15,PPW,PPW - 132B,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
554,B15,PPW,PPW - 132B,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
555,B15,PPW,PPW - 132C,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
556,B15,PPW,PPW - 132C,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
557,B15,PPW,PPW - 132C,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
558,B15,PPW,PPW - 133B,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
559,B15,PPW,PPW - 133B,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
560,B15,PPW,PPW - 133B,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
561,B15,PPW,PPW - 133C,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
562,B15,PPW,PPW - 133C,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
563,B15,PPW,PPW - 133C,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
564,B15,PPW,PPW - 134,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
565,B15,PPW,PPW - 134,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
566,B15,PPW,PPW - 134,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
567,B15,PPW,PPW - 134A,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
568,B15,PPW,PPW - 134A,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
569,B15,PPW,PPW - 134A,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
570,B15,PPW,PPW - 134B,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
571,B15,PPW,PPW - 134B,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
572,B15,PPW,PPW - 134B,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
573,B15,PPW,PPW - 134C,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
574,B15,PPW,PPW - 134C,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
575,B15,PPW,PPW - 134C,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
576,B15,PPW,PPW - 135,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
577,B15,PPW,PPW - 135,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
578,B15,PPW,PPW - 135,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
579,B15,PPW,PPW - 135A,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
580,B15,PPW,PPW - 135A,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
581,B15,PPW,PPW - 135A,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
582,B15,PPW,PPW - 135B,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
583,B15,PPW,PPW - 135B,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
584,B15,PPW,PPW - 135B,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
585,B15,PPW,PPW - 135C,3A,,,,,,,,,,,,,,,,,,,,,,,,0,0
586,B15,PPW,PPW - 135C,4A,,,,,,,,,,,,,,,,,,,,,,,,1,1
587,B15,PPW,PPW - 135C,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
588,B15,PPW,PPW - 137,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
589,B15,PPW,PPW - 137,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
590,B15,PPW,PPW - 137,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
591,B15,PPW,PPW - 140,3A,,,,,,,,,,,,,,,,,,,,,,,,2,2
592,B15,PPW,PPW - 140,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
593,B15,PPW,PPW - 140,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
594,B15,PPW,PPW - 140A,3A,,,,,,,,,,,,,,,,,,,,,,,,2,2
595,B15,PPW,PPW - 140A,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
596,B15,PPW,PPW - 140A,5A,,,,,,,,,,,,,,,,,,,,,,,,0,0
597,B15,PPW,PPW - 141,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
598,B15,PPW,PPW - 141,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
599,B15,PPW,PPW - 141,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
600,B15,PPW,PPW - 141A,3A,,,,,,,,,,,,,,,,,,,,,,,,1,1
601,B15,PPW,PPW - 141A,4A,,,,,,,,,,,,,,,,,,,,,,,,0,0
602,B15,PPW,PPW - 141A,5A,,,,,,,,,,,,,,,,,,,,,,,,1,1
603,B15,PPW,HCS - 101,3A,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,276
604,B15,PPW,HCS - 101,4A,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,276
605,B15,PPW,HCS - 101,5A,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,138
606,B15,PPW,HCS - 101M,3A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,B15,PPW,HCS - 101M,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,B15,PPW,HCS - 101M,5A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
609,B15,HCS,HCS - 101N,3A,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92
610,B15,HCS,HCS - 101N,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,B15,HCS,HCS - 101N,5A,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92
612,B15,HCS,HCS - 101L,3A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
613,B15,HCS,HCS - 101L,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,B15,HCS,HCS - 101L,5A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
615,B15,HCS,HCS - 101Q,3A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
616,B15,HCS,HCS - 101Q,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,B15,HCS,HCS - 101Q,5A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
618,B15,HCS,HCS - 102,3A,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,276
619,B15,HCS,HCS - 102,4A,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,276
620,B15,HCS,HCS - 102,5A,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,138
621,B15,HCS,HCS - 102A,3A,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,138
622,B15,HCS,HCS - 102A,4A,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,138
623,B15,HCS,HCS - 102A,5A,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92
624,B15,HCS,HCS - 102G,3A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,B15,HCS,HCS - 102G,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,B15,HCS,HCS - 102G,5A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
627,B15,HCS,HCS - 102L,3A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
628,B15,HCS,HCS - 102L,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,B15,HCS,HCS - 102L,5A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
630,B15,HCS,HCS - 102M,3A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
631,B15,HCS,HCS - 102M,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,B15,HCS,HCS - 102M,5A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
633,B15,HCS,HCS - 103E,3A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
634,B15,HCS,HCS - 103E,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,B15,HCS,HCS - 103E,5A,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46
636,B15,HCS,HCS - 103F,3A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
637,B15,HCS,HCS - 103F,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,B15,HCS,HCS - 103F,5A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
639,B15,HCS,HCS - 103J,3A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
640,B15,HCS,HCS - 103J,4A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,B15,HCS,HCS - 103J,5A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
642,B15,HCS,HCS - 104,3A,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,276
643,B15,HCS,HCS - 104,4A,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,276
644,B15,HCS,HCS - 104,5A,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,184
